실미도|강우석|2003|11081000
태극기 휘날리며|강제규|2004|11746135
왕의 남자|이준익|2005|12302831
괴물|봉준호|2006|13019740
해운대|윤제균|2009|11453338
도둑들|최동훈|2012|12983330
광해, 왕이 된 남자|추창민|2012|12323595
7번방의 선물|이환경|2013|12812143
변호인|양우석|2013|11375944
명량|김한민|2014|17615919
국제시장|윤제균|2014|14265528
베테랑|류승완|2015|13414484
암살|최동훈|2015|12706663
부산행|연상호|2016|11573003
신과함께-죄와 벌|김용화|2017|14414658
택시운전사|장훈|2017|12186684
신과함께-인과 연|김용화|2018|12274534
극한직업|이병헌|2019|16266480
기생충|봉준호|2019|10316742
범죄도시2|이상용|2022|12693415
서울의 봄|김성수|2023|13127990
범죄도시3|이상용|2023|10682813
파묘|장재현|2024|11911901
범죄도시4|허명행|2024|11446564
왕과 사는 남자|장항준|2026|14842823
